000001	华夏成长混合	混合型	8	26.02(1604/3407) -19.05(1454/2975) 17.19(477/2766) -22.73(1150/1334) 25.72(544/749) 15.29(424/611) 15.71(226/529) 7.25(150/459) 
000003	中海可转债债券A	债券型	6	28.91(28/2110) -17.47(1196/1542) -5.31(1046/1334) -23.08(646/650) -12.32(559/572) 51.18(29/494) 
000004	中海可转债债券C	债券型	6	29.07(27/2110) -17.69(1197/1542) -5.64(1047/1334) -23.40(647/650) -11.41(557/572) 51.67(28/494) 
000005	嘉实增强信用定期债券	定开债券	6	6.31(76/799) 8.26(61/591) 2.83(60/473) 1.42(111/187) 9.38(83/148) 8.95(92/116) 
000008	嘉实中证500ETF联接A	联接基金	6	25.69(563/730) -30.74(423/571) 1.12(375/489) -14.27(267/433) 34.43(59/266) 34.80(150/233) 
000009	易方达天天理财货币A	货币型	6	2.56(313/660) 3.71(252/645) 4.00(162/660) 2.62(197/535) 3.89(79/301) 5.08(23/161) 
000010	易方达天天理财货币B	货币型	6	2.81(85/660) 3.96(73/645) 4.25(39/660) 2.87(53/535) 4.14(27/301) 5.33(7/161) 
000011	华夏大盘精选混合	混合型	8	44.70(786/3407) -19.57(1489/2975) 34.94(90/2766) -11.29(831/1334) 28.18(520/749) 6.06(551/611) 14.94(236/529) 5.62(189/459) 
000013	易方达天天理财货币R	货币型	6	2.82(81/660) 3.97(69/645) 4.26(37/660) 2.88(50/535) 4.15(20/301) 5.35(6/161) 
000014	华夏聚利债券	债券型	6	16.00(106/2110) -3.87(1098/1542) 0.34(825/1334) 0.96(303/650) 8.40(412/572) 7.83(444/494) 
000015	华夏纯债债券A	债券型	6	4.63(722/2110) 7.48(228/1542) 1.04(734/1334) 0.88(313/650) 11.51(251/572) 7.68(448/494) 
000016	华夏纯债债券C	债券型	6	4.25(835/2110) 6.93(326/1542) 0.62(794/1334) 0.53(359/650) 11.12(280/572) 7.19(457/494) 
000017	财通可持续混合	混合型	6	54.54(422/3407) -22.74(1755/2975) 21.82(339/2766) -24.20(1175/1334) 45.56(332/749) 60.94(14/611) 
000020	景顺长城品质投资混合	混合型	6	66.50(156/3407) -23.35(1818/2975) 35.97(77/2766) -13.28(881/1334) 58.15(201/749) 18.17(376/611) 
000021	华夏优势增长混合	混合型	8	47.12(691/3407) -27.25(2111/2975) 13.43(639/2766) -20.29(1079/1334) 43.14(359/749) 11.25(489/611) 13.30(274/529) 0.83(343/459) 
000024	大摩双利增强债券A	债券型	6	5.94(485/2110) 6.32(452/1542) 2.01(515/1334) 3.95(44/650) 11.54(247/572) 14.53(282/494) 
000025	大摩双利增强债券C	债券型	6	5.49(532/2110) 6.01(514/1542) 1.58(631/1334) 3.64(60/650) 12.15(220/572) 14.17(292/494) 
000028	华富安鑫债券	债券型	6	8.34(323/2110) 0.30(45/52) 2.27(69/114) -2.68(77/86) 16.23(28/46) 21.22(6/39) 
000029	富国宏观策略灵活配置混合	混合型	6	49.93(579/3407) -16.20(1237/2975) 30.78(147/2766) -10.35(799/1334) 38.21(408/749) 17.70(387/611) 
